title,budget,revenue,genre,belongs_to_franchise,production_company,cert,runtime,popularity,release_season,release_month,averageRating
Hideaway,15000000.0,12201255.0,Drama,0,Sony Pictures,R,103.0,8.182165,Winter,Mar,5.4
Heavenly Creatures,5000000.0,3049135.0,Drama,0,Other,R,99.0,9.438042,Summer,Sep,7.3
Houseguest,10500000.0,26325256.0,Comedy,0,Other,PG,113.0,2.688562,Winter,Jan,6.0
Interview with the Vampire,60000000.0,223664608.0,Horror,1,Other,R,123.0,11.970205,Fall,Nov,7.5
Jefferson in Paris,14000000.0,2474000.0,Drama,0,Walt Disney Studios,PG-13,139.0,1.596058,Winter,Mar,5.8
Junior,60000000.0,37000000.0,Comedy,0,NBCUniversal,PG-13,109.0,6.710215,Fall,Nov,4.6
Star Wars,11000000.0,775398007.0,Adventure,1,Walt Disney Studios,PG,121.0,42.149697,Spring,May,8.6
Like Water for Chocolate,2000000.0,21665468.0,Drama,0,Other,R,105.0,4.126083,Spring,Apr,7.1
Legends of the Fall,30000000.0,160638883.0,Adventure,0,Sony Pictures,R,133.0,12.199047,Fall,Dec,7.6
Losing Isaiah,17000000.0,7603766.0,Drama,0,ViacomCBS,R,106.0,7.698526,Winter,Mar,6.5
Mary Shelley's Frankenstein,45000000.0,112006296.0,Drama,0,Sony Pictures,R,123.0,14.287753,Fall,Nov,6.4
Miami Rhapsody,6.0,5.0,Comedy,0,Other,PG-13,95.0,1.137266,Winter,Jan,5.4
Nell,31000000.0,106683817.0,Drama,0,Other,PG-13,112.0,5.930957,Fall,Dec,6.5
Natural Born Killers,34000000.0,50282766.0,Crime,0,WarnerMedia,R,119.0,11.226856,Summer,Aug,7.3
Outbreak,50000000.0,189859560.0,Action,0,WarnerMedia,R,127.0,13.676444,Winter,Mar,6.6
Leon: The Professional,16000000.0,45284974.0,Thriller,0,Other,R,110.0,20.477329,Summer,Sep,8.5
The Perez Family,11000000.0,2832826.0,Comedy,0,Other,R,113.0,1.433544,Spring,May,6.0
Pushing Hands,400000.0,152322.0,Comedy,0,Other,R,105.0,1.638622,Winter,Feb,7.3
The Quick and the Dead,32000000.0,18552460.0,Action,0,Sony Pictures,R,107.0,7.54701,Winter,Feb,6.5
Roommates,22000000.0,12400000.0,Drama,0,Other,PG,108.0,3.395867,Winter,Mar,6.4
Prêt-à-Porter,15000000.0,11300653.0,Drama,0,Other,R,133.0,6.259433,Fall,Dec,5.2
The Swan Princess,35000000.0,9771658.0,Animation,1,Other,G,89.0,8.910462,Fall,Nov,6.5
The Specialist,45000000.0,170362582.0,Action,0,WarnerMedia,R,110.0,10.388183,Fall,Oct,5.6
Stargate,55000000.0,196567262.0,Action,1,Other,PG-13,121.0,13.328924,Fall,Oct,7.1
The Santa Clause,22000000.0,189833357.0,Fantasy,1,Walt Disney Studios,PG,97.0,9.665424,Fall,Nov,6.5
Tank Girl,25000000.0,4064495.0,Action,0,Other,R,98.0,7.602087,Winter,Mar,5.4
Star Trek: Generations,38000000.0,120000000.0,Other,1,ViacomCBS,PG,118.0,8.105708,Fall,Nov,6.6
Tales from the Hood,6000000.0,12000000.0,Crime,1,Other,R,98.0,2.86007,Spring,May,6.4
What's Eating Gilbert Grape,11000000.0,10032765.0,Romance,0,ViacomCBS,PG-13,118.0,10.3919,Fall,Dec,7.8
Virtuosity,30000000.0,24048000.0,Action,0,ViacomCBS,R,106.0,5.188399,Summer,Aug,5.6
While You Were Sleeping,17000000.0,182057016.0,Comedy,0,Other,PG,103.0,15.783615,Spring,Apr,6.7
Muriel's Wedding,3000000.0,15119639.0,Drama,0,Other,R,106.0,5.254847,Summer,Sep,7.2
Ace Ventura: Pet Detective,15000000.0,107217396.0,Comedy,1,Other,PG-13,86.0,11.247957,Winter,Feb,6.9
Bitter Moon,5000000.0,1862805.0,Thriller,0,Other,R,139.0,11.298195,Summer,Sep,7.2
Clear and Present Danger,62000000.0,215887717.0,Action,1,Other,PG-13,141.0,7.513245,Summer,Aug,6.9
The Client,45000000.0,117615211.0,Drama,0,WarnerMedia,PG-13,119.0,15.263829,Summer,Jul,6.8
The Crow,15000000.0,94000000.0,Fantasy,1,Other,R,102.0,15.799336,Spring,May,7.6
The Flintstones,46000000.0,341631208.0,Fantasy,1,NBCUniversal,PG,91.0,15.019586,Spring,May,4.9
Forrest Gump,55000000.0,677945399.0,Comedy,0,ViacomCBS,PG-13,142.0,48.307194,Summer,Jul,8.8
Four Weddings and a Funeral,6000000.0,254700832.0,Comedy,0,Other,R,117.0,8.990345,Winter,Mar,7.1
I Love Trouble,45000000.0,61947267.0,Action,0,Other,PG,123.0,3.570874,Spring,Jun,5.3
The Lion King,45000000.0,788241776.0,Other,1,Walt Disney Studios,G,89.0,21.605761,Spring,Jun,8.5
Little Buddha,35000000.0,4858139.0,Drama,0,Other,PG,140.0,5.681522,Fall,Dec,6.1
New Nightmare,14000000.0,18090181.0,Horror,1,WarnerMedia,R,112.0,9.860522,Fall,Oct,6.5
The Mask,23000000.0,351583407.0,Romance,1,WarnerMedia,PG-13,101.0,14.13488,Summer,Jul,6.9
The Naked Gun 33⅓: The Final Insult,30000000.0,51132598.0,Comedy,1,ViacomCBS,PG-13,83.0,10.587232,Winter,Mar,6.5
Reality Bites,11500000.0,20079850.0,Drama,0,Other,PG-13,99.0,6.514592,Winter,Feb,6.6
Red Rock West,8000000.0,2000000.0,Crime,0,Other,R,98.0,5.137903,Summer,Jul,7.0
Speed,30000000.0,350448145.0,Action,1,Other,R,116.0,10.859292,Spring,Jun,7.2
Timecop,27000000.0,101646581.0,Thriller,1,Other,R,99.0,8.907074,Summer,Sep,5.9
True Lies,115000000.0,378882411.0,Action,0,Walt Disney Studios,R,141.0,11.396099,Summer,Jul,7.2
A Low Down Dirty Shame,10000000.0,29392418.0,Action,0,Other,R,100.0,3.021526,Fall,Nov,6.0
Jason's Lyric,7000000.0,20851521.0,Crime,0,Other,R,119.0,0.912909,Summer,Sep,6.6
Street Fighter,35000000.0,99423521.0,Action,0,Other,PG-13,102.0,13.58449,Fall,Dec,4.0
Highlander: The Final Dimension,26000000.0,36800000.0,Action,1,Other,PG-13,99.0,6.866634,Fall,Nov,4.5
In the Mouth of Madness,8000000.0,8946600.0,Horror,0,WarnerMedia,R,95.0,8.497643,Fall,Dec,7.2
The Age of Innocence,34000000.0,32255440.0,Drama,0,Sony Pictures,PG,139.0,8.013617,Summer,Sep,7.2
The Air Up There,17080000.0,21011500.0,Comedy,0,Other,PG,107.0,1.896273,Winter,Jan,5.6
Beverly Hills Cop III,50000000.0,119208989.0,Action,1,ViacomCBS,R,104.0,11.787784,Spring,May,5.6
Body Snatchers,13000000.0,428868.0,Horror,0,Other,R,87.0,6.559693,Spring,Jun,6.0
A Bronx Tale,22000000.0,17287898.0,Drama,0,Other,R,121.0,6.115628,Summer,Sep,7.8
Calendar Girl,13000000.0,2570145.0,Drama,0,Other,PG-13,90.0,1.316741,Summer,Sep,5.1
Carlito's Way,30000000.0,36516012.0,Action,1,NBCUniversal,R,144.0,8.698509,Fall,Nov,7.9
Cliffhanger,70000000.0,255000211.0,Action,0,Other,R,112.0,9.830853,Spring,May,6.5
Color of Night,40000000.0,19726050.0,Drama,0,Other,R,121.0,14.228963,Summer,Aug,5.2
Dazed and Confused,6900000.0,7993039.0,Comedy,0,Other,R,102.0,6.8652,Summer,Sep,7.6
Demolition Man,57000000.0,159055768.0,Crime,0,WarnerMedia,R,115.0,11.626116,Fall,Oct,6.7
For Love or Money,30000000.0,11146270.0,Comedy,0,NBCUniversal,PG,94.0,8.468869,Fall,Oct,6.2
Free Willy,20000000.0,153698625.0,Other,1,WarnerMedia,PG,112.0,5.990572,Summer,Jul,6.0
The Fugitive,44000000.0,368875760.0,Adventure,1,WarnerMedia,PG-13,130.0,10.08937,Summer,Aug,7.8
Geronimo: An American Legend,35000000.0,18635620.0,Other,0,Sony Pictures,PG-13,115.0,4.653462,Fall,Dec,6.5
Hard Target,18000000.0,74189677.0,Action,1,NBCUniversal,R,97.0,7.834351,Summer,Aug,6.2
Hot Shots! Part Deux,25000000.0,133752825.0,Action,1,Walt Disney Studios,PG-13,86.0,13.482371,Spring,May,6.6
In the Line of Fire,40000000.0,176997168.0,Action,0,Sony Pictures,R,128.0,12.637158,Summer,Jul,7.2
In the Name of the Father,13000000.0,65796862.0,Drama,0,Other,R,133.0,7.405895,Fall,Dec,8.1
Jurassic Park,63000000.0,920100000.0,Adventure,1,NBCUniversal,PG-13,127.0,8.863776,Spring,Jun,8.1
Kalifornia,9000000.0,2395231.0,Thriller,0,Other,R,117.0,8.4337,Summer,Sep,6.7
Killing Zoe,1500000.0,418961.0,Action,0,Other,R,96.0,4.948569,Fall,Oct,6.5
Last Action Hero,85000000.0,137298489.0,Adventure,0,Sony Pictures,PG-13,130.0,9.434006,Spring,Jun,6.4
Manhattan Murder Mystery,13500000.0,11285588.0,Comedy,0,Sony Pictures,PG,104.0,8.939404,Summer,Aug,7.3
Menace II Society,3500000.0,27900000.0,Drama,0,WarnerMedia,R,97.0,5.260924,Spring,May,7.5
Executive Decision,55000000.0,121969216.0,Action,0,WarnerMedia,R,133.0,13.106291,Winter,Mar,6.4
Mrs. Doubtfire,25000000.0,441286195.0,Comedy,0,Walt Disney Studios,PG-13,125.0,11.16553,Fall,Nov,7.0
The Next Karate Kid,12000000.0,15826984.0,Adventure,1,Sony Pictures,PG,107.0,9.9697,Summer,Jul,4.5
No Escape,20000000.0,15340000.0,Action,0,Sony Pictures,R,118.0,9.715187,Spring,Apr,6.1
A Perfect World,30000000.0,135130999.0,Crime,0,WarnerMedia,PG-13,138.0,8.040589,Fall,Nov,7.6
Philadelphia,26000000.0,206678440.0,Drama,0,Sony Pictures,PG-13,125.0,13.373006,Fall,Dec,7.7
The Piano,7000000.0,116700000.0,Drama,0,Other,R,121.0,7.436758,Spring,May,7.6
Poetic Justice,14000000.0,27515786.0,Drama,0,Sony Pictures,R,109.0,6.972599,Summer,Jul,6.1
The Ref,11000000.0,11439193.0,Comedy,0,Walt Disney Studios,R,97.0,5.868677,Winter,Mar,6.9
The Remains of the Day,11500000.0,23237911.0,Drama,0,Sony Pictures,PG,134.0,12.222576,Fall,Nov,7.8
Renaissance Man,40000000.0,24332324.0,Comedy,0,Other,PG-13,128.0,4.985157,Spring,Jun,6.2
RoboCop 3,22000000.0,10696210.0,Action,1,Other,PG-13,104.0,8.685798,Spring,Apr,4.1
Robin Hood: Men in Tights,20000000.0,35739755.0,Comedy,0,Other,PG-13,104.0,17.136672,Summer,Jul,6.7
Romeo Is Bleeding,11500000.0,3275585.0,Action,0,Other,R,100.0,9.796318,Summer,Sep,6.6
Ruby in Paradise,800000.0,1001437.0,Drama,0,Other,R,114.0,0.941994,Fall,Oct,7.0
Rudy,12000000.0,22750363.0,Drama,0,Sony Pictures,PG,114.0,5.914833,Summer,Sep,7.5
Serial Mom,13000000.0,7820688.0,Comedy,0,Other,R,95.0,5.305311,Spring,Apr,6.8
The Shadow,25000000.0,48063435.0,Adventure,1,NBCUniversal,PG-13,108.0,7.881107,Summer,Jul,6.1
Sleepless in Seattle,21000000.0,227799884.0,Comedy,0,Sony Pictures,PG,105.0,10.234919,Spring,Jun,6.8
Sliver,40000000.0,116300000.0,Drama,0,ViacomCBS,R,108.0,11.23297,Spring,May,5.1
So I Married an Axe Murderer,20000000.0,11585483.0,Comedy,0,Sony Pictures,PG-13,93.0,8.051914,Summer,Jul,6.4
Super Mario Bros.,48000000.0,20915465.0,Adventure,0,Other,PG,104.0,7.198455,Spring,May,4.1
Surviving the Game,7400000.0,7690013.0,Action,0,WarnerMedia,R,96.0,3.644641,Spring,Apr,6.3
Terminal Velocity,50000000.0,16478900.0,Action,0,Other,PG-13,102.0,8.012225,Summer,Sep,5.5
The Nightmare Before Christmas,18000000.0,75634409.0,Fantasy,0,Walt Disney Studios,PG,76.0,17.730913,Fall,Oct,8.0
The Three Musketeers,30000000.0,53898845.0,Action,0,Walt Disney Studios,PG,105.0,6.34785,Fall,Nov,6.4
Tombstone,25000000.0,56505065.0,Action,0,Other,R,130.0,11.338194,Fall,Dec,7.8
True Romance,12500000.0,12281551.0,Action,0,Other,R,120.0,17.189328,Summer,Sep,7.9
The Pagemaster,27000000.0,13670688.0,Fantasy,0,Walt Disney Studios,G,80.0,7.436001,Fall,Nov,6.1
Home Alone,18000000.0,476684675.0,Comedy,1,Other,PG,103.0,0.702543,Fall,Nov,7.6
Ghost,22000000.0,505000000.0,Fantasy,0,ViacomCBS,PG-13,127.0,11.945397,Summer,Jul,7.1
Aladdin,28000000.0,504050219.0,Animation,1,Walt Disney Studios,G,90.0,16.357419,Fall,Nov,8.0
Terminator 2: Judgment Day,100000000.0,520000000.0,Action,1,Other,R,137.0,22.661695,Summer,Jul,8.5
Batman,35000000.0,411348924.0,Fantasy,1,WarnerMedia,PG-13,126.0,19.10673,Spring,Jun,7.5
The Silence of the Lambs,19000000.0,272742922.0,Crime,1,Other,R,119.0,4.307222,Winter,Feb,8.6
Snow White and the Seven Dwarfs,1488423.0,184925486.0,Fantasy,1,Walt Disney Studios,R,83.0,16.263878,Fall,Dec,7.6
Beauty and the Beast,25000000.0,377350553.0,Romance,1,Walt Disney Studios,G,84.0,23.433511,Fall,Nov,8.0
Pinocchio,2600000.0,84300000.0,Animation,0,Walt Disney Studios,G,88.0,14.202284,Winter,Feb,7.4
Pretty Woman,14000000.0,463000000.0,Romance,0,Walt Disney Studios,R,119.0,13.348451,Winter,Mar,7.0
The Wild Bunch,6244087.0,638641.0,Adventure,0,WarnerMedia,R,145.0,11.722424,Spring,Jun,7.9
Fargo,7000000.0,60611975.0,Crime,0,Other,R,98.0,12.61469,Spring,Apr,8.1
Hellraiser: Bloodline,4000000.0,16675000.0,Horror,1,Other,R,86.0,5.263187,Winter,Mar,5.2
The Aristocats,4000000.0,55675257.0,Animation,1,Walt Disney Studios,G,78.0,9.834047,Fall,Dec,7.1
Primal Fear,30000000.0,102616183.0,Crime,0,ViacomCBS,R,129.0,10.326213,Spring,Apr,7.7
Girl 6,12000000.0,4939939.0,Comedy,0,Walt Disney Studios,R,108.0,4.405169,Winter,Mar,5.2
Courage Under Fire,46000000.0,100860818.0,Drama,0,Walt Disney Studios,R,117.0,11.595316,Summer,Jul,6.6
Mission: Impossible,80000000.0,457696359.0,Adventure,1,ViacomCBS,PG-13,110.0,15.793477,Spring,May,7.2
DragonHeart,57000000.0,115267375.0,Fantasy,1,NBCUniversal,PG-13,103.0,23.63659,Spring,May,6.5
James and the Giant Peach,38000000.0,28921264.0,Adventure,0,Walt Disney Studios,PG,79.0,13.217623,Spring,Apr,6.7
Faithful,13000000.0,9789900.0,Comedy,0,ViacomCBS,R,91.0,1.296862,Spring,Apr,5.9
Space Jam,80000000.0,250200000.0,Animation,1,WarnerMedia,PG,88.0,11.054251,Fall,Nov,6.5
Barbarella,9000000.0,2500000.0,Other,0,Other,R,98.0,14.304205,Fall,Oct,5.9
Mrs. Winterbourne,25000000.0,10070000.0,Comedy,0,Sony Pictures,PG-13,105.0,9.1861,Spring,Apr,6.2
The Quest,30000000.0,57400547.0,Action,0,Other,PG-13,95.0,7.941972,Spring,Apr,5.6
Oliver & Company,31000000.0,74151346.0,Animation,1,Walt Disney Studios,G,74.0,10.813579,Fall,Nov,6.7
Flipper,25530000.0,20080020.0,Adventure,0,NBCUniversal,PG,95.0,4.557006,Spring,May,5.3
The Horseman on the Roof,35000000.0,15000000.0,Other,0,Other,R,135.0,1.690768,Summer,Sep,7.1
The Craft,15000000.0,24769466.0,Drama,1,Sony Pictures,R,101.0,12.860385,Spring,May,6.4
Original Gangstas,4800000.0,3014000.0,Action,0,Other,R,99.0,0.343579,Spring,May,5.7
The Rock,75000000.0,335062621.0,Action,0,Other,R,136.0,13.249824,Spring,Jun,7.4
Twister,92000000.0,494471524.0,Action,0,WarnerMedia,PG-13,113.0,8.739144,Spring,May,6.4
The Arrival,25000000.0,14048372.0,Action,1,Other,PG-13,115.0,6.497591,Spring,May,6.2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000.0,9440272.0,Drama,0,Sony Pictures,PG,95.0,9.80398,Winter,Jan,8.4
The Phantom,45000000.0,17300889.0,Adventure,0,ViacomCBS,PG,100.0,8.079541,Spring,Jun,5.0
Striptease,50000000.0,113309743.0,Drama,0,WarnerMedia,R,115.0,11.341502,Spring,Jun,4.5
Jack,45000000.0,58620973.0,Comedy,0,Other,PG-13,113.0,6.287245,Summer,Aug,5.8
Trainspotting,4000000.0,16491080.0,Drama,1,Other,R,93.0,19.348466,Winter,Feb,8.1
Independence Day,75000000.0,816969268.0,Action,1,Walt Disney Studios,PG-13,145.0,17.634197,Spring,Jun,7.0
The Fan,55000000.0,18626419.0,Drama,0,Sony Pictures,R,116.0,12.202063,Summer,Aug,5.9
The Hunchback of Notre Dame,100000000.0,100138851.0,Drama,1,Walt Disney Studios,G,91.0,13.553999,Spring,Jun,6.9
The Cable Guy,47000000.0,102825796.0,Comedy,0,Sony Pictures,PG-13,96.0,7.586577,Spring,Jun,6.1
Kingpin,27000000.0,25023434.0,Comedy,0,Other,PG-13,113.0,11.633347,Summer,Jul,6.9
Eraser,100000000.0,242295562.0,Action,0,Other,R,115.0,6.919314,Spring,Jun,6.1
The Nutty Professor,54000000.0,128769345.0,Fantasy,1,Other,PG-13,95.0,9.651581,Spring,Jun,5.6
Daylight,80000000.0,159212469.0,Action,0,NBCUniversal,PG-13,115.0,11.995799,Fall,Dec,5.9
The Frighteners,30000000.0,29359216.0,Horror,0,NBCUniversal,R,110.0,12.09096,Summer,Jul,7.1
