imdb_id,id,title,original_language,genre,belongs_to_franchise,production_company,release_date,runtime,popularity,is_Adult,numVotes,averageRating
tt0112281,9273,Ace Ventura: When Nature Calls,en,Crime,1,Morgan Creek Entertainment,1995-11-10,90.0,8.205448,0,203861.0,6.4
tt0113845,11517,Money Train,en,Action,0,Columbia Pictures,1995-11-21,103.0,7.337906,0,39133.0,5.7
tt0113161,8012,Get Shorty,en,Comedy,1,Metro-Goldwyn-Mayer (MGM),1995-10-20,105.0,12.669608,0,76624.0,6.9
tt0112722,1710,Copycat,en,Drama,0,New Regency Productions,1995-10-27,124.0,10.701801,0,55085.0,6.6
tt0112401,9691,Assassins,en,Action,0,Warner Bros.,1995-10-06,132.0,11.065939,0,78143.0,6.4
tt0114168,12665,Powder,en,Drama,0,Caravan Pictures,1995-10-27,111.0,12.133094,0,28646.0,6.6
tt0113627,451,Leaving Las Vegas,en,Drama,0,Lumiere Pictures,1995-10-27,112.0,10.332025,0,115503.0,7.5
tt0114057,16420,Othello,en,Drama,0,Castle Rock Entertainment,1995-12-15,123.0,1.845899,0,9117.0,6.8
tt0114011,9263,Now and Then,en,Comedy,0,New Line Cinema,1995-10-20,100.0,8.681325,0,27236.0,6.8
tt0112682,902,The City of Lost Children,fr,Fantasy,0,Constellation,1995-05-16,108.0,9.822423,0,65262.0,7.5
tt0115012,37557,Shanghai Triad,zh,Drama,0,Alpha Films,1995-04-30,108.0,1.100915,0,5219.0,7.1
tt0112792,9909,Dangerous Minds,en,Drama,0,Hollywood Pictures,1995-08-11,99.0,9.481338,0,48932.0,6.6
tt0114746,63,Twelve Monkeys,en,Science Fiction,0,Universal Pictures,1995-12-29,129.0,12.297305,0,583062.0,8.0
tt0114952,78802,Wings of Courage,fr,Romance,0,Iwerks Entertainment,1996-09-18,50.0,0.745542,0,613.0,6.4
tt0112431,9598,Babe,en,Fantasy,1,Universal Pictures,1995-07-18,89.0,14.404764,0,117561.0,6.8
tt0112637,47018,Carrington,en,History,0,PolyGram Filmed Entertainment,1995-11-08,121.0,1.493361,0,5140.0,6.8
tt0112818,687,Dead Man Walking,en,Drama,0,Havoc,1995-12-29,122.0,6.891317,0,89251.0,7.5
tt0112286,139405,Across the Sea of Time,en,Adventure,0,Sony New Technologies,1995-10-20,51.0,0.114469,0,236.0,5.9
tt0113442,33689,It Takes Two,en,Comedy,0,Dualstar Productions,1995-11-17,101.0,7.777735,0,21107.0,5.9
tt0112697,9603,Clueless,en,Comedy,0,Paramount Pictures,1995-07-19,97.0,9.882383,0,187219.0,6.8
tt0112749,34615,"Cry, the Beloved Country",en,Drama,0,Alpine Pty Limited,1995-12-15,106.0,0.894647,0,1683.0,6.8
tt0114279,31174,Richard III,en,Drama,0,Mayfair Entertainment International,1995-12-29,104.0,4.561387,0,13862.0,7.4
tt0112819,11443,Dead Presidents,en,Action,0,Caravan Pictures,1995-10-06,119.0,9.87957,0,20240.0,6.9
tt0114272,35196,Restoration,en,Drama,0,Avenue Pictures,1995-12-29,117.0,10.979269,0,8937.0,6.6
tt0113855,9312,Mortal Kombat,en,Action,1,New Line Cinema,1995-08-18,101.0,10.870138,0,104857.0,5.8
tt0114681,577,To Die For,en,Fantasy,0,Columbia Pictures,1995-05-20,106.0,10.448481,0,44156.0,6.8
tt0113347,11861,How To Make An American Quilt,en,Drama,0,Universal Pictures,1995-10-06,116.0,4.485958,0,10775.0,6.3
tt0114369,807,Se7en,en,Crime,0,Cecchi Gori Pictures,1995-09-22,127.0,18.45743,0,1465085.0,8.6
tt0114148,10530,Pocahontas,en,Adventure,1,Walt Disney Pictures,1995-06-14,81.0,13.280069,0,172494.0,6.7
tt0114916,8391,When Night Is Falling,en,Drama,0,Alliance Communications Corporation,1995-05-05,96.0,3.302524,0,6663.0,6.5
tt0114814,629,The Usual Suspects,en,Drama,0,PolyGram Filmed Entertainment,1995-07-19,106.0,16.302466,0,1001356.0,8.5
tt0113819,11448,Mighty Aphrodite,en,Comedy,0,Sweetland Films,1995-09-13,95.0,15.899134,0,38401.0,7.0
tt0110299,49133,Lamerica,it,Drama,0,Alia Film,1994-01-01,116.0,1.361286,0,2086.0,7.5
tt0112499,26441,The Big Green,en,Action,0,Caravan Pictures,1995-09-29,100.0,5.982764,0,9395.0,5.6
tt0113158,97406,Georgia,en,Drama,0,CiBy 2000,1995-05-19,115.0,4.093443,0,2814.0,6.6
tt0113541,124057,Kids of the Round Table,en,Adventure,0,Malofilm Communications Inc.,1997-07-08,89.0,0.307075,0,307.0,4.9
tt0113321,9089,Home for the Holidays,en,Comedy,0,Paramount Pictures,1995-11-02,103.0,8.416802,0,12230.0,6.6
tt0110877,11010,The Postman,it,Comedy,0,Cecchi Gori Group Tiger Cinematografica,1994-09-22,108.0,10.168437,0,34009.0,7.7
tt0112714,99040,The Confessional,fr,Thriller,0,Canal+ Productions,1995-09-29,100.0,0.120789,0,1531.0,7.4
tt0113419,11359,The Indian in the Cupboard,en,Adventure,0,Columbia Pictures,1995-07-14,96.0,10.673296,0,26479.0,6.0
tt0116260,17182,Eye for an Eye,en,Drama,0,Paramount Pictures,1996-01-12,101.0,4.733526,0,13687.0,6.2
tt0113862,2054,Mr. Holland's Opus,en,Music,0,Hollywood Pictures,1995-12-29,137.0,7.137117,0,35816.0,7.3
tt0116126,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,en,Comedy,0,Island Pictures,1996-01-12,89.0,11.700115,0,49010.0,6.6
tt0118002,19760,Two If by Sea,en,Comedy,0,Morgan Creek Entertainment,1996-01-12,96.0,2.174487,0,5422.0,5.3
tt0115683,9536,Bio-Dome,en,Comedy,0,Metro-Goldwyn-Mayer (MGM),1996-01-12,88.0,6.387469,0,26141.0,4.5
tt0116839,11525,Lawnmower Man 2: Beyond Cyberspace,en,Action,1,New Line Cinema,1996-01-12,92.0,2.49535,0,9002.0,2.5
tt0114753,40628,Two Bits,en,Drama,0,Miramax,1995-10-22,85.0,4.046208,0,3245.0,6.2
tt0113149,4482,French Twist,fr,Comedy,0,Canal+,1995-02-08,95.0,2.518051,0,4660.0,6.4
tt0113118,10634,Friday,en,Comedy,1,New Line Cinema,1995-04-26,91.0,14.56965,0,101502.0,7.3
tt0116367,755,From Dusk Till Dawn,en,Horror,1,Dimension Films,1996-01-19,108.0,15.339153,0,289621.0,7.2
tt0113010,11859,Fair Game,en,Action,0,Warner Bros.,1995-11-03,91.0,5.912223,0,12233.0,4.3
tt0113537,28387,Kicking and Screaming,en,Comedy,0,Trimark Pictures,1995-10-06,96.0,3.367276,0,12224.0,6.8
tt0115644,20927,Bed of Roses,en,Drama,0,Juno Pix,1996-01-26,87.0,10.412194,0,7892.0,6.1
tt0115676,36929,Big Bully,en,Comedy,0,Morgan Creek Entertainment,1996-01-26,90.0,2.936443,0,4585.0,4.7
tt0114367,9102,Screamers,en,Horror,1,Triumph Films,1995-09-08,108.0,12.758848,0,25425.0,6.4
tt0113973,124626,Nico Icon,en,Documentary,0,Bluehorse Films,1995-02-18,70.0,0.133893,0,679.0,7.2
tt0112744,27526,The Crossing Guard,en,Drama,0,Miramax,1995-11-15,111.0,5.756462,0,12801.0,6.3
tt0116731,9623,The Juror,en,Drama,0,Columbia Pictures,1996-02-02,118.0,6.010579,0,17448.0,5.7
tt0112445,46785,The White Balloon,fa,Family,0,Farabi Cinema Foundation,1995-01-01,85.0,1.196256,0,6783.0,7.7
tt0114660,400,Things to Do in Denver When You're Dead,en,Drama,0,Miramax,1995-12-01,116.0,4.486179,0,26299.0,6.8
tt0112379,880,Antonia's Line,nl,Drama,0,Bergen,1995-09-12,102.0,2.030174,0,8324.0,7.4
tt0114039,146599,Once Upon a Time... When We Were Colored,en,Romance,0,BET Pictures,1996-01-26,115.0,0.252287,0,476.0,7.2
tt0113612,188588,Last Summer in the Hamptons,en,Comedy,0,Jagtoria Films,1995-11-22,108.0,0.531159,0,381.0,5.6
tt0112365,8447,Angels and Insects,en,Drama,0,Playhouse International Pictures,1995-09-10,118.0,2.15166,0,4412.0,6.8
tt0118158,10534,White Squall,en,Action,0,Hollywood Pictures,1996-02-02,129.0,9.568604,0,21275.0,6.6
tt0116151,17414,Dunston Checks In,en,Adventure,0,Joe Wizan/Todd Black,1996-01-12,88.0,4.814825,0,11964.0,5.4
tt0115697,13997,Black Sheep,en,Comedy,0,Broadway Pictures,1996-02-01,87.0,8.963037,0,37023.0,6.3
tt0113972,2086,Nick of Time,en,Crime,0,Paramount Pictures,1995-11-22,90.0,6.848591,0,39628.0,6.3
tt0113490,61548,The Journey of August King,en,Drama,0,Addis Wechsler Pictures,1995-09-14,91.0,0.411424,0,915.0,6.5
tt0117002,9095,Mary Reilly,en,Drama,0,NFH Productions,1996-02-23,104.0,12.866139,0,14181.0,5.8
tt0114825,12158,Vampire in Brooklyn,en,Comedy,0,Eddie Murphy Productions,1995-10-26,100.0,9.071127,0,22057.0,4.6
tt0115639,9283,Beautiful Girls,en,Comedy,0,Miramax,1996-02-09,112.0,4.670562,0,31508.0,7.1
tt0115759,9208,Broken Arrow,en,Action,0,Twentieth Century Fox,1996-02-09,108.0,14.957626,0,91512.0,6.1
tt0113403,40154,A Midwinter's Tale,en,Comedy,0,Castle Rock Entertainment,1995-12-01,99.0,0.513391,0,2386.0,7.2
tt0113247,406,La Haine,fr,Drama,0,Canal+,1995-05-31,98.0,12.108196,0,153139.0,8.1
tt0111173,45549,Shopping,en,Action,0,Channel Four Films,1994-12-06,105.0,2.657647,0,2570.0,5.4
tt0115907,11062,City Hall,en,Drama,0,Castle Rock Entertainment,1996-02-16,111.0,4.807223,0,19618.0,6.2
tt0115734,13685,Bottle Rocket,en,Comedy,0,Columbia Pictures,1996-02-21,91.0,6.904831,0,70554.0,7.0
tt0117102,47475,Mr. Wrong,en,Comedy,0,Mandeville Films,1996-02-16,96.0,3.329264,0,4811.0,3.9
tt0118040,2045,Unforgettable,en,Drama,0,Dino De Laurentiis Company,1996-02-23,106.0,2.464425,0,4974.0,6.0
tt0116483,9614,Happy Gilmore,en,Comedy,0,Universal Pictures,1996-02-16,92.0,9.592265,0,199754.0,7.0
tt0112579,688,The Bridges of Madison County,en,Drama,0,Warner Bros.,1995-05-28,135.0,5.951077,0,74089.0,7.6
tt0110251,11907,Nobody Loves Me,de,Drama,0,Cobra Film GmbH,1994-11-07,104.0,1.015068,0,1141.0,7.1
tt0117110,10874,Muppet Treasure Island,en,Action,0,Walt Disney Pictures,1996-02-16,100.0,6.902423,0,21986.0,7.0
tt0113276,96357,Headless Body in Topless Bar,en,Crime,0,Green Tea Pictures,1995-05-20,110.0,0.001346,0,204.0,5.2
tt0075314,103,Taxi Driver,en,Crime,0,Columbia Pictures,1976-02-07,114.0,14.092713,0,735128.0,8.2
tt0113326,33542,Rumble in the Bronx,cn,Crime,0,Golden Harvest Company,1995-01-30,91.0,12.314278,0,39261.0,6.8
tt0115645,43566,Before and After,en,Drama,0,Caravan Pictures,1996-02-23,108.0,2.938293,0,8271.0,6.1
tt0113774,71754,Margaret's Museum,en,Drama,0,British Screen Productions,1995-09-13,114.0,0.372697,0,1287.0,7.1
tt0112556,43612,Happiness Is in the Field,en,Comedy,0,Canal+,1995-01-31,106.0,1.254885,0,2696.0,7.0
tt0112373,51352,Anne Frank Remembered,en,Documentary,0,Anne Frank House,1995-06-08,117.0,0.243986,0,1070.0,8.0
tt0115033,16934,The Young Poisoner's Handbook,en,Comedy,0,Bavaria Film and Television Fund,1995-01-20,99.0,6.178497,0,3452.0,7.1
tt0116606,10324,If Lucy Fell,en,Comedy,0,Motion Picture Corporation of America (MPCA),1996-03-08,92.0,2.891918,0,3811.0,4.9
tt0114536,78406,Steal Big Steal Little,en,Comedy,0,Chicago Pacific Entertainment,1995-09-29,113.0,1.522412,0,902.0,4.8
tt0117427,55731,Race the Sun,en,Action,0,TriStar Pictures,1996-03-22,100.0,1.317878,0,3045.0,5.4
tt0103859,11066,Boomerang,en,Comedy,0,Paramount Pictures,1992-06-30,117.0,6.506983,0,26591.0,5.6
tt0109424,11104,Chungking Express,cn,Drama,0,Jet Tone Production,1994-07-14,102.0,6.778979,0,65259.0,8.1
tt0114808,37975,The Star Maker,it,Drama,0,Cecchi Gori Group Tiger Cinematografica,1995-09-21,113.0,1.702639,0,4857.0,7.4
tt0116324,2074,Flirting with Disaster,en,Comedy,0,Miramax,1996-03-22,92.0,5.579088,0,17828.0,6.7
tt0110647,27793,The Neverending Story III: Escape from Fantasia,en,Fantasy,1,Cinevox Filmproduktion GmbH,1994-10-26,95.0,6.252377,0,10790.0,3.2
tt0111055,44284,The Silences of the Palace,ar,Drama,0,Canal Horizons,1994-09-30,116.0,0.406754,0,906.0,7.3
tt0110217,290157,Jupiter's Wife,en,Biography,0,Blackbridge Productions,1995-01-01,87.0,0.001178,0,231.0,7.2
tt0114131,110972,Pie in the Sky,en,Comedy,0,Fine Line Features,1996-02-09,95.0,0.699066,0,798.0,5.7
tt0112364,32622,Angela,en,Comedy,0,Tree Farm Productions,1995-01-01,99.0,2.197439,0,820.0,6.5
tt0113107,73067,Frankie Starlight,it,Drama,0,Bórd Scannán na hÉireann,1995-11-22,101.0,0.637554,0,826.0,6.5
tt0113451,11863,Jade,en,Action,0,Paramount Pictures,1995-10-13,95.0,11.418917,0,11730.0,5.3
tt0114015,55475,Nueba Yol,es,Comedy,0,Cigua Films,1995-08-16,102.0,0.291021,0,462.0,7.2
tt0116130,9101,Down Periscope,en,Comedy,0,Twentieth Century Fox,1996-03-01,92.0,5.184977,0,21329.0,6.2
tt0113125,123360,From the Journals of Jean Seberg,en,Documentary,0,Couch Potatoe Productions,1995-09-08,97.0,0.276401,0,260.0,7.2
tt0113756,5757,Man of the Year,en,Comedy,0,The Documentary Foundation,1995-09-15,86.0,0.540436,0,315.0,5.8
tt0113952,39428,The Neon Bible,en,Drama,0,Channel Four Films,1995-08-23,91.0,0.370342,0,781.0,6.2
tt0114618,124639,Target,en,Drama,0,Creative Entertainment Group,1995-08-01,122.0,0.001205,0,72.0,7.7
tt0118055,9302,Up Close & Personal,en,Drama,0,Touchstone Pictures,1996-03-01,119.0,3.402749,0,13576.0,6.2
tt0115685,11000,The Birdcage,en,Comedy,0,United Artists,1996-03-08,117.0,6.49968,0,80737.0,7.1
tt0113200,249882,Virgin Mary,en,Drama,0,IPI International,1995-10-12,125.0,0.918504,0,364.0,4.1
tt0112585,16388,The Brothers McMullen,en,Comedy,0,Brothers McMullen Productions,1995-08-09,98.0,2.039196,0,7473.0,6.6
tt0112442,9737,Bad Boys,en,Action,1,Don Simpson/Jerry Bruckheimer Films,1995-04-07,118.0,9.262184,0,242644.0,6.9
tt0112342,30765,The Amazing Panda Adventure,en,Action,0,Lee Rich Productions,1995-08-25,81.0,2.375865,0,3899.0,5.8
tt0112461,10474,The Basketball Diaries,en,Drama,0,New Line Cinema,1995-04-21,102.0,7.415144,0,103295.0,7.3
tt0112427,22279,An Awfully Big Adventure,en,Romance,0,British Broadcasting Corporation (BBC),1995-07-21,113.0,0.922958,0,2620.0,6.0
tt0109093,30157,Amateur,en,Crime,0,American Playhouse,1994-08-05,105.0,1.759012,0,5717.0,6.9
tt0112384,568,Apollo 13,en,Drama,0,Universal Pictures,1995-06-30,140.0,18.761467,0,272480.0,7.6
tt0114287,11780,Rob Roy,en,Adventure,0,United Artists,1995-04-13,139.0,10.193549,0,40704.0,6.9
tt0112288,34996,The Addiction,en,Drama,0,Fast Films,1995-01-10,82.0,3.137285,0,9062.0,6.5
tt0112462,414,Batman Forever,en,Action,1,Warner Bros.,1995-06-16,121.0,13.321354,0,236652.0,5.4
tt0061395,649,Belle de Jour,fr,Drama,0,Robert et Raymond Hakim,1967-05-24,101.0,10.142662,0,40808.0,7.7
tt0112495,1873,Beyond Rangoon,en,Drama,0,Castle Rock Entertainment,1995-05-24,100.0,2.04189,0,4853.0,6.6
tt0112541,5894,Blue in the Face,en,Comedy,1,Miramax,1995-09-15,83.0,11.528147,0,9095.0,6.7
tt0109370,1775,Canadian Bacon,en,Action,0,Dog Eat Dog Films,1995-06-08,91.0,5.391556,0,16145.0,6.0
tt0112642,8839,Casper,en,Fantasy,1,Universal Pictures,1995-05-26,100.0,12.812539,0,122963.0,6.1
tt0112688,20649,Clockers,en,Mystery,0,Universal Pictures,1995-09-15,128.0,4.558992,0,20997.0,6.9
tt0112715,10329,Congo,en,Action,0,Paramount Pictures,1995-06-09,109.0,7.260574,0,42708.0,5.3
tt0112740,8963,Crimson Tide,en,Action,0,Hollywood Pictures,1995-05-12,116.0,8.657365,0,102975.0,7.3
tt0109508,26564,Crumb,en,Documentary,0,Superior Pictures,1994-09-10,119.0,3.620388,0,18722.0,8.0
tt0112851,8068,Desperado,en,Thriller,1,Columbia Pictures,1995-08-25,104.0,6.950458,0,172710.0,7.2
tt0112857,8512,Devil in a Blue Dress,en,Drama,0,TriStar Pictures,1995-09-15,102.0,4.646132,0,17898.0,6.7
tt0112864,1572,Die Hard: With a Vengeance,en,Action,1,Cinergi Pictures Entertainment,1995-05-19,128.0,15.138855,0,366586.0,7.6
tt0112887,13552,The Doom Generation,en,Action,1,Union Générale Cinématographique (UGC),1995-10-27,80.0,7.120806,0,13915.0,6.2
tt0113044,259209,Feast of July,en,Drama,0,Touchstone Pictures,1995-10-12,116.0,0.523575,0,507.0,6.1
tt0113071,6520,First Knight,en,Action,0,Columbia Pictures,1995-07-07,134.0,15.178338,0,68934.0,6.0
tt0113114,9073,Free Willy 2 - The Adventure Home,en,Adventure,1,Warner Bros. Family Entertainment,1995-07-19,95.0,7.575098,0,17256.0,5.1
tt0113243,10428,Hackers,en,Action,1,United Artists,1995-09-14,107.0,14.810519,0,65743.0,6.3
tt0113464,17447,Jeffrey,en,Comedy,0,The Booking Office,1995-08-18,92.0,3.196456,0,5783.0,6.8
tt0113481,9886,Johnny Mnemonic,en,Adventure,0,TriStar Pictures,1995-05-26,97.0,11.715868,0,67348.0,5.7
tt0113492,9482,Judge Dredd,en,Science Fiction,0,Hollywood Pictures,1995-06-30,96.0,8.184815,0,111299.0,5.6
tt0113500,19326,Jury Duty,en,Comedy,0,TriStar Pictures,1995-04-12,88.0,3.676921,0,7538.0,4.4
tt0113540,9344,Kids,en,Drama,0,Guys Upstairs,1995-07-28,91.0,4.877872,0,73695.0,7.1
tt0113677,9071,Living in Oblivion,en,Drama,0,JDI Productions,1995-01-20,89.0,10.058329,0,16899.0,7.5
tt0113690,8973,Lord of Illusions,en,Mystery,0,Seraphim Films,1995-08-25,119.0,4.102409,0,14988.0,6.1
tt0107447,15730,Love & Human Remains,en,Comedy,0,Atlantis Films,1993-05-20,100.0,0.354014,0,2459.0,6.7
tt0113729,47608,Mad Love,en,Drama,0,Touchstone Pictures,1995-05-26,95.0,2.624771,0,6168.0,5.4
tt0113749,2293,Mallrats,en,Romance,1,Gramercy Pictures (I),1995-10-20,94.0,8.25547,0,116682.0,7.1
tt0113820,9070,Mighty Morphin Power Rangers: The Movie,en,Action,1,Twentieth Century Fox,1995-06-30,92.0,7.024227,0,25438.0,5.3
tt0113851,68274,Moonlight and Valentino,en,Comedy,0,Polygram Filmed Entertainment,1995-09-29,100.0,1.01115,0,3485.0,5.7
tt0110604,48787,Mute Witness,en,Thriller,0,Avrora Media,1995-09-28,95.0,2.466066,0,5344.0,6.7
tt0110620,34574,Nadja,en,Horror,0,Kino Link Company,1994-09-13,93.0,7.720056,0,2960.0,6.0
tt0113957,1642,The Net,en,Crime,1,Columbia Pictures,1995-07-28,114.0,13.304342,0,61314.0,6.0
tt0113986,11472,Nine Months,en,Comedy,0,Twentieth Century Fox,1995-07-12,103.0,8.482834,0,35364.0,5.5
tt0114095,36196,Party Girl,en,Comedy,0,Party Productions,1995-06-09,94.0,1.165039,0,4650.0,6.6
tt0114194,11980,The Prophecy,en,Fantasy,1,First Look International,1995-09-01,98.0,10.187623,0,29364.0,6.5
tt0114241,58372,Reckless,en,Fantasy,0,Playhouse International Pictures,1995-11-17,91.0,0.119713,0,423.0,5.3
tt0114323,32646,Safe,en,Drama,0,American Playhouse Theatrical Films,1995-06-23,119.0,8.180047,0,13568.0,7.2
tt0114345,10533,The Scarlet Letter,en,Drama,0,Allied Stars Ltd.,1995-10-13,135.0,6.752119,0,14497.0,5.4
tt0114436,10802,Showgirls,en,Drama,1,Carolco Pictures,1995-09-22,128.0,17.502375,0,63097.0,4.9
tt0114478,10149,Smoke,en,Comedy,1,Miramax,1995-06-09,112.0,5.552946,0,33290.0,7.4
tt0114496,18402,Something to Talk About,en,Comedy,0,Hawn / Sylbert Movie Company,1995-08-04,106.0,3.743212,0,12805.0,5.7
tt0114508,9348,Species,en,Science Fiction,1,Metro-Goldwyn-Mayer (MGM),1995-07-07,108.0,13.492845,0,74809.0,5.8
tt0114534,139408,The Stars Fell on Henrietta,en,Drama,0,Butcher's Run Films,1995-09-15,109.0,0.913522,0,711.0,6.6
tt0114558,281,Strange Days,en,Crime,0,Lightstorm Entertainment,1995-10-13,145.0,11.223055,0,67723.0,7.2
tt0058450,5967,The Umbrellas of Cherbourg,fr,Drama,1,Parc Film,1964-02-19,91.0,8.133881,0,24169.0,7.8
tt0114666,79593,The Tie That Binds,en,Thriller,0,Hollywood Pictures,1995-09-08,99.0,1.820419,0,1080.0,5.0
tt0114663,47939,Three Wishes,en,Drama,0,Rysher Entertainment,1995-10-27,115.0,11.002046,0,2838.0,6.2
tt0114702,36834,Total Eclipse,en,Drama,0,FIT Productions,1995-11-02,111.0,4.546552,0,13443.0,6.6
tt0114682,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",en,Comedy,0,Universal Pictures,1995-09-07,105.0,7.653446,0,29002.0,6.6
tt0114781,3512,Under Siege 2: Dark Territory,en,Action,1,Warner Bros.,1995-07-13,100.0,7.490247,0,44196.0,5.5
tt0114798,52856,Unstrung Heroes,en,Comedy,0,Hollywood Pictures,1995-09-15,93.0,2.881689,0,2976.0,6.7
tt0114805,77350,Unzipped,en,Documentary,0,Hachette Filipacchi Films,1995-08-11,73.0,0.786023,0,1061.0,6.5
tt0114887,9560,A Walk in the Clouds,en,Drama,0,Twentieth Century Fox,1995-08-11,103.0,9.715639,0,31950.0,6.7
tt0114898,9804,Waterworld,en,Adventure,0,Universal Pictures,1995-07-28,135.0,16.885184,0,182091.0,6.3
tt0114928,31611,White Man's Burden,en,Drama,0,A Band Apart,1995-12-01,89.0,1.834099,0,4625.0,5.3
tt0114938,65796,Wild Bill,en,Action,0,The Zanuck Company,1995-12-01,98.0,8.922139,0,6532.0,5.9
tt0109340,49805,The Browning Version,en,Drama,0,Percy Main,1994-10-12,97.0,3.727644,0,3035.0,7.2
tt0112602,26258,Bushwhacked,en,Adventure,0,Twentieth Century Fox,1995-08-04,90.0,3.287036,0,5680.0,5.6
tt0111579,50797,Burnt by the Sun,ru,Drama,1,Studio Trite,1994-05-01,135.0,2.486073,0,14517.0,7.9
tt0110882,19155,Before the Rain,en,Drama,0,Aim,1994-06-09,113.0,3.525649,0,13935.0,8.0
tt0112471,76,Before Sunrise,en,Drama,1,Castle Rock Entertainment,1995-01-27,105.0,11.304979,0,276419.0,8.1
tt0112508,11017,Billy Madison,en,Comedy,0,Universal Pictures,1995-02-10,89.0,6.638116,0,132616.0,6.4
tt0112438,37141,The Babysitter,en,Drama,0,Spelling Films International,1995-10-17,90.0,2.761837,0,4732.0,4.3
tt0112571,9382,Boys on the Side,en,Comedy,0,Alcor Films,1995-02-03,115.0,3.030309,0,11987.0,6.5
tt0112757,6715,The Cure,en,Drama,0,Universal Pictures,1995-04-21,97.0,2.686342,0,9233.0,7.7
tt0112679,22625,Circle of Friends,en,Drama,0,Price Entertainment,1995-03-16,103.0,2.605521,0,8049.0,6.6
tt0109445,2292,Clerks,en,Comedy,1,View Askew Productions,1994-09-13,92.0,10.513367,0,212466.0,7.7
tt0112883,1909,Don Juan DeMarco,en,Romance,0,New Line Cinema,1994-10-01,97.0,7.438934,0,48557.0,6.7
tt0109635,8984,Disclosure,en,Drama,0,Warner Bros.,1994-12-09,123.0,11.812244,0,46872.0,6.1
tt0109676,4954,Drop Zone,en,Action,0,Paramount Pictures,1994-12-08,101.0,9.579155,0,19345.0,5.6
tt0109579,10531,Death and the Maiden,en,Drama,0,Fine Line Features,1994-05-04,103.0,5.484156,0,23029.0,7.3
tt0109642,11929,Dolores Claiborne,en,Crime,1,Castle Rock Entertainment,1995-03-24,132.0,5.8025,0,39587.0,7.4
tt0109686,8467,Dumb and Dumber,en,Comedy,1,New Line Cinema,1994-12-16,107.0,9.844558,0,355760.0,7.3
tt0111797,10451,Eat Drink Man Woman,zh,Comedy,0,Ang Lee Productions,1994-08-03,123.0,4.860016,0,19036.0,7.8
tt0109759,20156,Exotica,en,Drama,0,Alliance Entertainment,1994-09-24,103.0,5.378467,0,18351.0,7.0
tt0109758,18395,Exit to Eden,en,Thriller,0,Savoy Pictures,1994-10-14,113.0,4.322726,0,6517.0,4.3
tt0109707,522,Ed Wood,en,Comedy,0,Touchstone Pictures,1994-09-27,127.0,11.720358,0,165994.0,7.8
tt0113117,397,French Kiss,en,Comedy,0,Polygram Filmed Entertainment,1995-05-05,111.0,9.146544,0,47277.0,6.6
tt0113097,10525,Forget Paris,en,Comedy,0,Castle Rock Entertainment,1995-05-19,101.0,16.236745,0,11554.0,6.5
tt0113028,27985,Far from Home: The Adventures of Yellow Dog,en,Action,0,Twentieth Century Fox,1995-01-13,87.0,2.657337,0,2654.0,6.4
tt0113198,15789,A Goofy Movie,en,Romance,1,Walt Disney Pictures,1995-04-07,78.0,10.177977,0,46948.0,6.9
tt0113303,27303,Hideaway,en,Drama,0,TriStar Pictures,1995-03-03,103.0,8.182165,0,6363.0,5.4
tt0113089,21183,Fluke,en,Drama,0,Metro-Goldwyn-Mayer (MGM),1995-06-02,96.0,4.953936,0,6551.0,6.7
